"p","wallShearStress:0","wallShearStress:1","wallShearStress:2","Points:0","Points:1","Points:2"
-9631.7,-98.887,-17.263,8.7798e-17,0.20281,0.10512,0.3
-9717.8,-98.779,-17.294,6.7033e-17,0.19482,0.10357,0.3
-9489.6,-101.79,-23.648,4.66e-17,0.1791,0.10025,0.3
-8902.1,-98.06,-22.866,1.6666e-16,0.16358,0.096606,0.3
-9031.4,-104.16,-30.731,1.1999e-16,0.14816,0.092617,0.3
-8246.4,-98.705,-29.162,9.2594e-17,0.14047,0.090475,0.3
-7997.6,-97.022,-28.701,1.254e-16,0.13277,0.088223,0.3
-8053.6,-97.456,-28.823,1.6178e-16,0.12508,0.085853,0.3
-8056.5,-103.14,-37.801,1.3225e-16,0.1174,0.083358,0.3
-7198,-96.736,-35.521,6.8589e-17,0.10973,0.080729,0.3
-6778.4,-94.133,-34.57,2.2865e-16,0.10211,0.077963,0.3
-6896,-95.571,-35.183,2.0749e-16,0.094531,0.075054,0.3
-6416,-96.815,-43.619,1.8208e-16,0.087039,0.072003,0.3
-5429.4,-91.176,-41.147,1.4398e-16,0.07966,0.06881,0.3
-5033.4,-89.115,-40.244,1.4185e-16,0.072436,0.065481,0.3
-5741.6,-99.202,-53.647,2.1822e-16,0.065413,0.062024,0.3
-3749.2,-86.003,-47.877,1.9087e-16,0.058637,0.058456,0.3
-3195.1,-83.256,-46.365,1.4044e-16,0.052156,0.054801,0.3
-4783.1,-91.316,-52.153,1.9184e-16,0.04601,0.051089,0.3
-1816.1,-79.394,-55.355,1.7133e-16,0.040234,0.047357,0.3
-737.99,-74.042,-51.643,1.75e-16,0.03486,0.043644,0.3
-411.94,-72.612,-50.688,1.7546e-16,0.03233,0.041806,0.3
-1871.8,-79.815,-56.908,2.012e-16,0.02991,0.039987,0.3
-168.65,-75.238,-67.178,1.6361e-16,0.0276,0.038192,0.3
915.67,-67.019,-60.658,1.6936e-16,0.025402,0.036426,0.3
1632.4,-63.271,-57.31,1.8974e-16,0.023317,0.034692,0.3
2131.8,-60.794,-55.073,1.6796e-16,0.021346,0.032995,0.3
2570.6,-59.076,-53.568,2.1665e-16,0.019488,0.031337,0.3
2644.2,-58.276,-52.923,1.7739e-16,0.017743,0.029723,0.3
1877.7,-63.638,-58.529,1.7792e-16,0.01611,0.028154,0.3
1877.7,-63.638,-58.529,1.7792e-16,0.014587,0.026633,0.3
3605.5,-53.437,-66.375,2.4728e-16,0.013171,0.025161,0.3
4624.6,-46.111,-58.566,2.7533e-16,0.01186,0.023738,0.3
5408,-42.55,-54.067,2.0859e-16,0.01065,0.022364,0.3
6158.4,-38.708,-49.272,2.3422e-16,0.009537,0.021039,0.3
6615.2,-36.82,-46.961,2.7503e-16,0.007581,0.018528,0.3
6611.1,-37.679,-48.603,3.087e-16,0.005951,0.016187,0.3
7606.4,-28.73,-49.856,1.632e-16,0.004603,0.013996,0.3
8651.2,-20.564,-41.055,6.5867e-17,0.003492,0.011933,0.3
